"자형","코드",,,,,,,,
,,"대표음1","대표음2","대표음3","대표음4","대표음5","대표음6",,
"㚻","U+36BB","기",,,,,,,
"㚼","U+36BC","호",,,,,,,
"㚽","U+36BD","교",,,,,,,
"㚾","U+36BE","형",,,,,,,
"㚿","U+36BF","포",,,,,,,
"㛀","U+36C0","추",,,,,,,
"㛁","U+36C1","팽",,,,,,,
"㛂","U+36C2","와",,,,,,,
"㛃","U+36C3","결",,,,,,,
"㛄","U+36C4","의",,,,,,,
"㛅","U+36C5","이",,,,,,,
"㛆","U+36C6","타",,,,,,,
"㛇","U+36C7","장",,,,,,,
"㛈","U+36C8","고",,,,,,,
"㛉","U+36C9","서",,,,,,,
"㛊","U+36CA","타",,,,,,,
"㛋","U+36CB","이",,,,,,,
"㛌","U+36CC","모",,,,,,,
"㛍","U+36CD","협",,,,,,,
"㛎","U+36CE","려","여",,,,,,
"㛏","U+36CF","구",,,,,,,
"㛐","U+36D0","수",,,,,,,
"㛑","U+36D1","찬",,,,,,,
"㛒","U+36D2","두",,,,,,,
"㛓","U+36D3","희",,,,,,,
"㛔","U+36D4","봉",,,,,,,
"㛕","U+36D5","압",,,,,,,
"㛖","U+36D6","사",,,,,,,
"㛗","U+36D7","좌",,,,,,,
"㛘","U+36D8","발",,,,,,,
"㛙","U+36D9","신",,,,,,,
"㛚","U+36DA","용",,,,,,,
"㛛","U+36DB","신",,,,,,,
"㛜","U+36DC","유",,,,,,,
"㛝","U+36DD","패",,,,,,,
"㛞","U+36DE","롱","농",,,,,,
"㛟","U+36DF","환",,,,,,,
"㛠","U+36E0","간",,,,,,,
"㛡","U+36E1","완",,,,,,,
"㛣","U+36E3","운",,,,,,,
"㛤","U+36E4","리","이",,,,,,
"㛥","U+36E5","탑",,,,,,,
"㛦","U+36E6","람","남",,,,,,
"㛧","U+36E7","맘",,,,,,,
"㛨","U+36E8","강",,,,,,,
"㛩","U+36E9","축",,,,,,,
"㛪","U+36EA","엄",,,,,,,
"㛫","U+36EB","석",,,,,,,
"㛬","U+36EC","륙","육",,,,,,
"㛭","U+36ED","석",,,,,,,
"㛮","U+36EE","수",,,,,,,
"㛯","U+36EF","면","반","찬",,,,,
"㛰","U+36F0","혼",,,,,,,
"㛱","U+36F1","외",,,,,,,
"㛲","U+36F2","발",,,,,,,
"㛳","U+36F3","예",,,,,,,
"㛴","U+36F4","뇌",,,,,,,
"㛵","U+36F5","칭",,,,,,,
"㛶","U+36F6","틴",,,,,,,
"㛷","U+36F7","계",,,,,,,
"㛸","U+36F8","수",,,,,,,
"㛹","U+36F9","변",,,,,,,
"㛺","U+36FA","암",,,,,,,
"㛻","U+36FB","괘",,,,,,,
"㛼","U+36FC","삽",,,,,,,
"㛽","U+36FD","산",,,,,,,
"㛾","U+36FE","함",,,,,,,
"㛿","U+36FF","대",,,,,,,
"㜀","U+3700","상",,,,,,,
"㜁","U+3701","사",,,,,,,
"㜂","U+3702","봉",,,,,,,
"㜃","U+3703","련","연",,,,,,
"㜄","U+3704","심",,,,,,,
"㜅","U+3705","축",,,,,,,
"㜆","U+3706","미",,,,,,,
"㜇","U+3707","이",,,,,,,
"㜈","U+3708","목",,,,,,,
"㜉","U+3709","옹",,,,,,,
"㜊","U+370A","전",,,,,,,
"㜋","U+370B","익",,,,,,,
"㜌","U+370C","누",,,,,,,
"㜍","U+370D","당",,,,,,,
"㜎","U+370E","혜",,,,,,,
"㜏","U+370F","운",,,,,,,
"㜐","U+3710","수",,,,,,,
"㜑","U+3711","파",,,,,,,
"㜒","U+3712","예",,,,,,,
"㜓","U+3713","답",,,,,,,
"㜔","U+3714","경",,,,,,,
"㜕","U+3715","련","연",,,,,,
"㜖","U+3716","조",,,,,,,
"㜗","U+3717","삼",,,,,,,
"㜘","U+3718","처",,,,,,,
"㜙","U+3719","록","녹",,,,,,
"㜚","U+371A","숙",,,,,,,
"㜛","U+371B","눈",,,,,,,
"㜜","U+371C","오",,,,,,,
"㜝","U+371D","암",,,,,,,
"㜞","U+371E","참",,,,,,,
"㜟","U+371F","감",,,,,,,
"㜠","U+3720","최",,,,,,,
"㜡","U+3721","종",,,,,,,
"㜢","U+3722","루","누",,,,,,
"㜣","U+3723","연",,,,,,,
"㜤","U+3724","담",,,,,,,
"㜥","U+3725","연",,,,,,,
"㜦","U+3726","심",,,,,,,
"㜧","U+3727","궐",,,,,,,
"㜨","U+3728","내",,,,,,,
"㜩","U+3729","오",,,,,,,
"㜪","U+372A","신",,,,,,,
"㜫","U+372B","미",,,,,,,
"㜬","U+372C","담",,,,,,,
"㜭","U+372D","당",,,,,,,
"㜮","U+372E","람","남",,,,,,
"㜯","U+372F","희",,,,,,,
"㜰","U+3730","약","삭",,,,,,
"㜱","U+3731","질",,,,,,,
"㜲","U+3732","영",,,,,,,
"㜳","U+3733","회",,,,,,,
"㜴","U+3734","몽",,,,,,,
"㜵","U+3735","뇨","요",,,,,,
"㜶","U+3736","만",,,,,,,
"㜷","U+3737","미",,,,,,,
"㜸","U+3738","얼",,,,,,,
"㜹","U+3739","구","우",,,,,,
"㜺","U+373A","찬",,,,,,,
"㜻","U+373B","련","연",,,,,,
"㜼","U+373C","질",,,,,,,
"㜽","U+373D","자",,,,,,,
"㜾","U+373E","해",,,,,,,
"㜿","U+373F","서",,,,,,,
"㝀","U+3740","호",,,,,,,
"㝁","U+3741","견",,,,,,,
"㝂","U+3742","절",,,,,,,
"㝃","U+3743","면",,,,,,,
"㝄","U+3744","순",,,,,,,
"㝅","U+3745","구","누",,,,,,
"㝆","U+3746","희",,,,,,,
"㝇","U+3747","순",,,,,,,
"㝈","U+3748","산","련","연",,,,,
"㝉","U+3749","보",,,,,,,
"㝊","U+374A","수",,,,,,,
"㝋","U+374B","료","요",,,,,,
"㝌","U+374C","구",,,,,,,
"㝍","U+374D","사",,,,,,,
"㝎","U+374E","정",,,,,,,
"㝏","U+374F","개",,,,,,,
"㝐","U+3750","용",,,,,,,
"㝑","U+3751","방",,,,,,,
"㝒","U+3752","거",,,,,,,
"㝓","U+3753","갑",,,,,,,
"㝔","U+3754","요",,,,,,,
"㝕","U+3755","녕","영",,,,,,
"㝖","U+3756","의",,,,,,,
"㝗","U+3757","량","양",,,,,,
"㝘","U+3758","옹",,,,,,,
"㝙","U+3759","인",,,,,,,
"㝚","U+375A","연",,,,,,,
"㝛","U+375B","숙",,,,,,,
"㝜","U+375C","석",,,,,,,
"㝝","U+375D","림","임",,,,,,
"㝞","U+375E","아",,,,,,,
"㝟","U+375F","몽",,,,,,,
"㝠","U+3760","명",,,,,,,
"㝡","U+3761","최",,,,,,,
"㝢","U+3762","우",,,,,,,
"㝣","U+3763","예",,,,,,,
"㝤","U+3764","구",,,,,,,
"㝥","U+3765","매",,,,,,,
"㝦","U+3766","준",,,,,,,
"㝧","U+3767","온",,,,,,,
"㝨","U+3768","환",,,,,,,
"㝩","U+3769","강",,,,,,,
"㝪","U+376A","점",,,,,,,
"㝫","U+376B","륭","융",,,,,,
"㝬","U+376C","보",,,,,,,
"㝭","U+376D","성",,,,,,,
"㝮","U+376E","최",,,,,,,
"㝯","U+376F","교",,,,,,,
"㝰","U+3770","변",,,,,,,
"㝱","U+3771","몽",,,,,,,
"㝲","U+3772","침",,,,,,,
"㝳","U+3773","촌",,,,,,,
"㝴","U+3774","완",,,,,,,
"㝵","U+3775","애",,,,,,,
"㝶","U+3776","득",,,,,,,
"㝷","U+3777","심",,,,,,,
"㝸","U+3778","변",,,,,,,
"㝹","U+3779","누",,,,,,,
"㝺","U+377A","렴","염",,,,,,
"㝻","U+377B","근",,,,,,,
"㝼","U+377C","우",,,,,,,
"㝽","U+377D","수",,,,,,,
"㝾","U+377E","자",,,,,,,
"㝿","U+377F","파",,,,,,,
"㞀","U+3780","회",,,,,,,
"㞁","U+3781","요",,,,,,,
"㞂","U+3782","퇴",,,,,,,
"㞃","U+3783","극",,,,,,,
"㞄","U+3784","암",,,,,,,
"㞅","U+3785","라","나",,,,,,
"㞆","U+3786","기",,,,,,,
"㞇","U+3787","외",,,,,,,
"㞈","U+3788","발",,,,,,,
"㞉","U+3789","찰",,,,,,,
"㞊","U+378A","술",,,,,,,
"㞋","U+378B","년","연","직",,,,,
"㞌","U+378C","잉",,,,,,,
"㞍","U+378D","환",,,,,,,
"㞎","U+378E","파",,,,,,,
"㞏","U+378F","집",,,,,,,
"㞐","U+3790","거","기",,,,,,
"㞑","U+3791","미",,,,,,,
"㞒","U+3792","해",,,,,,,
"㞓","U+3793","기",,,,,,,
"㞔","U+3794","치",,,,,,,
"㞕","U+3795","설",,,,,,,
"㞖","U+3796","자",,,,,,,
"㞗","U+3797","구",,,,,,,
"㞘","U+3798","돈",,,,,,,
"㞙","U+3799","뇨","요",,,,,,
"㞚","U+379A","잡",,,,,,,
"㞛","U+379B","기",,,,,,,
"㞜","U+379C","퇴",,,,,,,
"㞝","U+379D","척",,,,,,,
"㞞","U+379E","종",,,,,,,
"㞟","U+379F","전","정",,,,,,
"㞠","U+37A0","료","요",,,,,,
"㞡","U+37A1","전",,,,,,,
"㞢","U+37A2","지",,,,,,,
"㞣","U+37A3","분",,,,,,,
"㞤","U+37A4","임",,,,,,,
"㞥","U+37A5","침",,,,,,,
"㞦","U+37A6","궤",,,,,,,
"㞧","U+37A7","회",,,,,,,
"㞨","U+37A8","자",,,,,,,
"㞩","U+37A9","람","남",,,,,,
"㞪","U+37AA","노",,,,,,,
"㞫","U+37AB","주",,,,,,,
"㞬","U+37AC","근",,,,,,,
"㞭","U+37AD","대",,,,,,,
"㞮","U+37AE","위",,,,,,,
"㞯","U+37AF","기",,,,,,,
"㞰","U+37B0","허",,,,,,,
"㞱","U+37B1","종",,,,,,,
"㞲","U+37B2","융",,,,,,,
"㞳","U+37B3","두",,,,,,,
"㞴","U+37B4","지",,,,,,,
"㞵","U+37B5","도",,,,,,,
"㞶","U+37B6","민",,,,,,,
"㞷","U+37B7","황",,,,,,,
"㞸","U+37B8","세",,,,,,,
"㞹","U+37B9","가",,,,,,,
"㞺","U+37BA","족",,,,,,,
"㞻","U+37BB","호",,,,,,,
"㞼","U+37BC","승",,,,,,,
"㞽","U+37BD","월",,,,,,,
"㞾","U+37BE","니","이",,,,,,
"㞿","U+37BF","기",,,,,,,
"㟀","U+37C0","련","연",,,,,,
"㟁","U+37C1","안",,,,,,,
"㟂","U+37C2","모",,,,,,,
"㟃","U+37C3","사",,,,,,,
"㟄","U+37C4","상",,,,,,,
"㟅","U+37C5","앙",,,,,,,
"㟆","U+37C6","화",,,,,,,
"㟇","U+37C7","좌",,,,,,,
"㟈","U+37C8","구",,,,,,,
"㟉","U+37C9","로","노",,,,,,
"㟊","U+37CA","부",,,,,,,
"㟋","U+37CB","태",,,,,,,
"㟌","U+37CC","망",,,,,,,
"㟍","U+37CD","랑","낭",,,,,,
"㟎","U+37CE","퇴","타",,,,,,
"㟏","U+37CF","함",,,,,,,
"㟐","U+37D0","망",,,,,,,
"㟑","U+37D1","발",,,,,,,
"㟒","U+37D2","균",,,,,,,
"㟓","U+37D3","기",,,,,,,
"㟔","U+37D4","함",,,,,,,
"㟕","U+37D5","규",,,,,,,
"㟖","U+37D6","롱","농",,,,,,
"㟗","U+37D7","빈",,,,,,,
"㟘","U+37D8","조",,,,,,,
"㟙","U+37D9","책",,,,,,,
"㟚","U+37DA","기",,,,,,,
"㟛","U+37DB","잠",,,,,,,
"㟜","U+37DC","미",,,,,,,
"㟝","U+37DD","배",,,,,,,
"㟞","U+37DE","잔",,,,,,,
"㟟","U+37DF","함",,,,,,,
"㟠","U+37E0","강",,,,,,,
"㟡","U+37E1","권",,,,,,,
"㟢","U+37E2","기",,,,,,,
"㟣","U+37E3","숭",,,,,,,
"㟤","U+37E4","록","녹",,,,,,
"㟥","U+37E5","참",,,,,,,
"㟦","U+37E6","운",,,,,,,
"㟧","U+37E7","악",,,,,,,
"㟨","U+37E8","단",,,,,,,
"㟩","U+37E9","민",,,,,,,
"㟪","U+37EA","외","위",,,,,,
"㟫","U+37EB","천",,,,,,,
"㟬","U+37EC","수",,,,,,,
"㟭","U+37ED","민",,,,,,,
"㟮","U+37EE","돌",,,,,,,
"㟯","U+37EF","액",,,,,,,
"㟰","U+37F0","명",,,,,,,
"㟱","U+37F1","요",,,,,,,
"㟲","U+37F2","원",,,,,,,
"㟳","U+37F3","률","율",,,,,,
"㟴","U+37F4","외",,,,,,,
"㟵","U+37F5","강",,,,,,,
"㟶","U+37F6","원",,,,,,,
"㟷","U+37F7","답",,,,,,,
"㟸","U+37F8","고",,,,,,,
"㟹","U+37F9","료","요",,,,,,
"㟺","U+37FA","루","누",,,,,,
"㟻","U+37FB","참",,,,,,,
"㟼","U+37FC","오",,,,,,,
"㟽","U+37FD","표",,,,,,,
"㟾","U+37FE","용",,,,,,,
"㟿","U+37FF","망",,,,,,,
"㠀","U+3800","도",,,,,,,
"㠁","U+3801","참",,,,,,,
"㠂","U+3802","오",,,,,,,
"㠃","U+3803","적",,,,,,,
"㠄","U+3804","습",,,,,,,
"㠅","U+3805","복",,,,,,,
"㠆","U+3806","단",,,,,,,
"㠇","U+3807","추",,,,,,,
"㠈","U+3808","윤",,,,,,,
"㠉","U+3809","동",,,,,,,
"㠊","U+380A","허",,,,,,,
"㠋","U+380B","악",,,,,,,
"㠌","U+380C","기",,,,,,,
"㠍","U+380D","집",,,,,,,
"㠎","U+380E","첩",,,,,,,
"㠏","U+380F","화",,,,,,,
"㠐","U+3810","교",,,,,,,
"㠑","U+3811","죄",,,,,,,
"㠒","U+3812","표",,,,,,,
"㠓","U+3813","몽",,,,,,,
"㠔","U+3814","알",,,,,,,
"㠕","U+3815","외",,,,,,,
"㠖","U+3816","의",,,,,,,
"㠗","U+3817","오",,,,,,,
"㠘","U+3818","서",,,,,,,
"㠙","U+3819","호",,,,,,,
"㠚","U+381A","대",,,,,,,
"㠛","U+381B","확",,,,,,,
"㠜","U+381C","의",,,,,,,
"㠝","U+381D","찬",,,,,,,
"㠞","U+381E","징",,,,,,,
"㠟","U+381F","여",,,,,,,
"㠠","U+3820","려","여",,,,,,
"㠡","U+3821","뇨","요",,,,,,
"㠢","U+3822","회",,,,,,,
"㠣","U+3823","력","역",,,,,,
"㠤","U+3824","양",,,,,,,
"㠥","U+3825","뢰","뇌","루","누",,,,
"㠦","U+3826","풍",,,,,,,
"㠧","U+3827","미",,,,,,,
"㠨","U+3828","울",,,,,,,
"㠩","U+3829","황",,,,,,,
"㠪","U+382A","거",,,,,,,
"㠫","U+382B","공",,,,,,,
"㠬","U+382C","부",,,,,,,
"㠭","U+382D","전",,,,,,,
"㠮","U+382E","봉",,,,,,,
"㠯","U+382F","이",,,,,,,
"㠰","U+3830","갈",,,,,,,
"㠱","U+3831","기",,,,,,,
"㠲","U+3832","비",,,,,,,
"㠳","U+3833","막",,,,,,,
"㠴","U+3834","인",,,,,,,
"㠵","U+3835","황",,,,,,,
"㠶","U+3836","범",,,,,,,
"㠷","U+3837","갑",,,,,,,
"㠸","U+3838","부",,,,,,,
"㠹","U+3839","개",,,,,,,
"㠺","U+383A","사",,,,,,,
"㠻","U+383B","희",,,,,,,
"㠼","U+383C","사",,,,,,,
"㠽","U+383D","동",,,,,,,
"㠾","U+383E","원",,,,,,,
"㠿","U+383F","자",,,,,,,
"㡀","U+3840","폐",,,,,,,
"㡁","U+3841","과",,,,,,,
"㡂","U+3842","례","예",,,,,,
"㡃","U+3843","황",,,,,,,
"㡄","U+3844","순",,,,,,,
"㡅","U+3845","나",,,,,,,
"㡆","U+3846","황",,,,,,,
"㡇","U+3847","첩",,,,,,,
"㡈","U+3848","문",,,,,,,
"㡉","U+3849","견",,,,,,,
"㡊","U+384A","흡",,,,,,,
"㡋","U+384B","업",,,,,,,
"㡌","U+384C","모",,,,,,,
"㡍","U+384D","고","택",,,,,,
"㡎","U+384E","삼",,,,,,,
"㡏","U+384F","유","수",,,,,,
"㡐","U+3850","전",,,,,,,
"㡑","U+3851","조",,,,,,,
"㡒","U+3852","춘",,,,,,,
"㡓","U+3853","곤",,,,,,,
"㡔","U+3854","목",,,,,,,
"㡕","U+3855","영",,,,,,,
"㡖","U+3856","종",,,,,,,
"㡗","U+3857","제",,,,,,,
"㡘","U+3858","렴","염",,,,,,
"㡙","U+3859","비",,,,,,,
"㡚","U+385A","구",,,,,,,
"㡛","U+385B","황",,,,,,,
"㡜","U+385C","세","설",,,,,,
"㡝","U+385D","봉",,,,,,,
"㡞","U+385E","루","누",,,,,,
"㡟","U+385F","조",,,,,,,
"㡠","U+3860","정",,,,,,,
"㡡","U+3861","주",,,,,,,
"㡢","U+3862","만",,,,,,,
"㡣","U+3863","룡","용",,,,,,
"㡤","U+3864","복",,,,,,,
"㡥","U+3865","은",,,,,,,
"㡦","U+3866","반",,,,,,,
"㡧","U+3867","정",,,,,,,
"㡨","U+3868","첨",,,,,,,
"㡩","U+3869","란","난",,,,,,
"㡪","U+386A","논",,,,,,,
"㡫","U+386B","예",,,,,,,
"㡬","U+386C","기",,,,,,,
"㡭","U+386D","계",,,,,,,
"㡮","U+386E","글",,,,,,,
"㡯","U+386F","댁","택","탁",,,,,
"㡰","U+3870","우",,,,,,,
"㡱","U+3871","구",,,,,,,
"㡲","U+3872","환",,,,,,,
"㡳","U+3873","저","지",,,,,,
"㡴","U+3874","랍","납",,,,,,
"㡵","U+3875","령","영",,,,,,
"㡶","U+3876","지",,,,,,,
"㡷","U+3877","본",,,,,,,
"㡸","U+3878","사",,,,,,,
"㡹","U+3879","저",,,,,,,
"㡺","U+387A","단",,,,,,,
"㡻","U+387B","료","요","류","유",,,,
"㡼","U+387C","예",,,,,,,
"㡽","U+387D","조",,,,,,,
"㡾","U+387E","한",,,,,,,
"㡿","U+387F","척","차",,,,,,
"㢀","U+3880","자",,,,,,,
"㢁","U+3881","치",,,,,,,
"㢂","U+3882","엄",,,,,,,
"㢃","U+3883","랑","낭",,,,,,
"㢄","U+3884","두",,,,,,,
"㢅","U+3885","롱","농",,,,,,
"㢆","U+3886","전",,,,,,,
"㢇","U+3887","언",,,,,,,
"㢈","U+3888","퇴",,,,,,,
"㢉","U+3889","자",,,,,,,
"㢊","U+388A","애",,,,,,,
"㢋","U+388B","치",,,,,,,
"㢌","U+388C","아",,,,,,,
"㢍","U+388D","영",,,,,,,
"㢎","U+388E","접",,,,,,,
"㢏","U+388F","유","투",,,,,,
"㢐","U+3890","아",,,,,,,
"㢑","U+3891","수",,,,,,,
"㢒","U+3892","사",,,,,,,
"㢓","U+3893","장",,,,,,,
"㢔","U+3894","종",,,,,,,
"㢕","U+3895","옹",,,,,,,
"㢖","U+3896","반",,,,,,,
"㢗","U+3897","교",,,,,,,
"㢘","U+3898","렴","염",,,,,,
"㢙","U+3899","근",,,,,,,
"㢚","U+389A","로","노",,,,,,
"㢛","U+389B","엄",,,,,,,
"㢜","U+389C","강",,,,,,,
"㢝","U+389D","소",,,,,,,
"㢞","U+389E","익",,,,,,,
"㢟","U+389F","천",,,,,,,
"㢠","U+38A0","회",,,,,,,
"㢡","U+38A1","장",,,,,,,
"㢢","U+38A2","폐",,,,,,,
"㢣","U+38A3","경",,,,,,,
"㢤","U+38A4","재",,,,,,,
"㢥","U+38A5","동",,,,,,,
"㢦","U+38A6","가",,,,,,,
"㢧","U+38A7","권",,,,,,,
"㢨","U+38A8","한",,,,,,,
"㢩","U+38A9","적",,,,,,,
"㢪","U+38AA","오",,,,,,,
"㢫","U+38AB","산",,,,,,,
"㢬","U+38AC","횡",,,,,,,
"㢭","U+38AD","도",,,,,,,
"㢮","U+38AE","이",,,,,,,
"㢯","U+38AF","돈","민",,,,,,
"㢰","U+38B0","피",,,,,,,
"㢱","U+38B1","미",,,,,,,
"㢲","U+38B2","손",,,,,,,
"㢳","U+38B3","로","노",,,,,,
"㢴","U+38B4","서",,,,,,,
"㢵","U+38B5","협",,,,,,,
"㢶","U+38B6","필",,,,,,,
"㢷","U+38B7","세",,,,,,,
"㢸","U+38B8","필",,,,,,,
"㢹","U+38B9","신",,,,,,,
"㢺","U+38BA","현",,,,,,,
"㢻","U+38BB","뇌",,,,,,,
"㢼","U+38BC","별",,,,,,,
"㢽","U+38BD","이",,,,,,,
"㢾","U+38BE","뇌",,,,,,,
"㢿","U+38BF","후",,,,,,,
"㣀","U+38C0","진",,,,,,,
"㣁","U+38C1","비",,,,,,,
"㣂","U+38C2","격",,,,,,,
"㣃","U+38C3","육",,,,,,,
"㣄","U+38C4","거",,,,,,,
"㣅","U+38C5","잠",,,,,,,
"㣆","U+38C6","미",,,,,,,
"㣇","U+38C7","제",,,,,,,
"㣈","U+38C8","시",,,,,,,
"㣉","U+38C9","공",,,,,,,
"㣊","U+38CA","수",,,,,,,
"㣋","U+38CB","단",,,,,,,
"㣌","U+38CC","삼",,,,,,,
"㣍","U+38CD","태",,,,,,,
"㣎","U+38CE","목",,,,,,,
"㣏","U+38CF","정",,,,,,,
"㣐","U+38D0","변",,,,,,,
"㣑","U+38D1","용",,,,,,,
"㣒","U+38D2","증",,,,,,,
"㣓","U+38D3","찬",,,,,,,
"㣔","U+38D4","정",,,,,,,
"㣕","U+38D5","대",,,,,,,
"㣖","U+38D6","태",,,,,,,
"㣗","U+38D7","호",,,,,,,
"㣘","U+38D8","구",,,,,,,
"㣙","U+38D9","적",,,,,,,
"㣚","U+38DA","통",,,,,,,
"㣛","U+38DB","회",,,,,,,
"㣜","U+38DC","형",,,,,,,
"㣝","U+38DD","숭",,,,,,,
"㣞","U+38DE","탈",,,,,,,
"㣟","U+38DF","길",,,,,,,
"㣠","U+38E0","동",,,,,,,
"㣡","U+38E1","중",,,,,,,
"㣢","U+38E2","제",,,,,,,
"㣣","U+38E3","협",,,,,,,
"㣤","U+38E4","천",,,,,,,
"㣥","U+38E5","치",,,,,,,
"㣦","U+38E6","위",,,,,,,
"㣧","U+38E7","윤",,,,,,,
"㣨","U+38E8","고",,,,,,,
"㣩","U+38E9","림","임",,,,,,
"㣪","U+38EA","환",,,,,,,
"㣫","U+38EB","종",,,,,,,
"㣬","U+38EC","즙",,,,,,,
"㣭","U+38ED","종",,,,,,,
"㣮","U+38EE","남",,,,,,,
"㣯","U+38EF","설",,,,,,,
"㣰","U+38F0","실",,,,,,,
"㣱","U+38F1","색",,,,,,,
"㣲","U+38F2","미",,,,,,,
"㣳","U+38F3","무",,,,,,,
"㣴","U+38F4","황",,,,,,,
"㣵","U+38F5","달",,,,,,,
"㣶","U+38F6","찬",,,,,,,
"㣷","U+38F7","녕","영",,,,,,
"㣸","U+38F8","유",,,,,,,
"㣹","U+38F9","응",,,,,,,
"㣺","U+38FA","심",,,,,,,
"㣻","U+38FB","애",,,,,,,
"㣼","U+38FC","인",,,,,,,
"㣽","U+38FD","서",,,,,,,
"㣾","U+38FE","차",,,,,,,
"㣿","U+38FF","조",,,,,,,
"㤀","U+3900","망",,,,,,,
"㤁","U+3901","첨",,,,,,,
"㤂","U+3902","급",,,,,,,
"㤃","U+3903","방",,,,,,,
"㤄","U+3904","패",,,,,,,
"㤅","U+3905","애",,,,,,,
"㤆","U+3906","판",,,,,,,
"㤇","U+3907","오",,,,,,,
"㤈","U+3908","침",,,,,,,
"㤉","U+3909","가","아",,,,,,
"㤊","U+390A","효",,,,,,,
"㤋","U+390B","분",,,,,,,
"㤌","U+390C","감",,,,,,,
"㤍","U+390D","교",,,,,,,
"㤎","U+390E","가",,,,,,,
"㤏","U+390F","동",,,,,,,
"㤐","U+3910","첩",,,,,,,
"㤑","U+3911","우",,,,,,,
"㤒","U+3912","고",,,,,,,
"㤓","U+3913","분",,,,,,,
"㤔","U+3914","부",,,,,,,
"㤕","U+3915","줄",,,,,,,
"㤖","U+3916","저",,,,,,,
"㤗","U+3917","태",,,,,,,
"㤘","U+3918","초",,,,,,,
"㤙","U+3919","은",,,,,,,
"㤚","U+391A","항",,,,,,,
"㤛","U+391B","임",,,,,,,
"㤜","U+391C","휼",,,,,,,
"㤝","U+391D","충",,,,,,,
"㤞","U+391E","탁",,,,,,,
"㤟","U+391F","공",,,,,,,
"㤠","U+3920","렬","열",,,,,,
"㤡","U+3921","렬","열",,,,,,
"㤢","U+3922","욱",,,,,,,
"㤣","U+3923","팽",,,,,,,
"㤤","U+3924","유",,,,,,,
"㤥","U+3925","해",,,,,,,
"㤦","U+3926","리","이",,,,,,
"㤧","U+3927","후",,,,,,,
"㤨","U+3928","공",,,,,,,
"㤩","U+3929","각",,,,,,,
"㤪","U+392A","원",,,,,,,
"㤫","U+392B","덕",,,,,,,
"㤬","U+392C","에",,,,,,,
"㤭","U+392D","교",,,,,,,
"㤮","U+392E","광",,,,,,,
"㤯","U+392F","형",,,,,,,
"㤰","U+3930","작",,,,,,,
"㤱","U+3931","부",,,,,,,
"㤲","U+3932","협",,,,,,,
"㤳","U+3933","배",,,,,,,
"㤴","U+3934","습",,,,,,,
"㤵","U+3935","자",,,,,,,
"㤶","U+3936","망",,,,,,,
"㤷","U+3937","함",,,,,,,
"㤸","U+3938","혁",,,,,,,
"㤹","U+3939","구",,,,,,,
"㤺","U+393A","황",,,,,,,
"㤻","U+393B","론","논",,,,,,
"㤼","U+393C","협",,,,,,,
"㤽","U+393D","주",,,,,,,
"㤾","U+393E","탐",,,,,,,
"㤿","U+393F","염","엄",,,,,,
"㥀","U+3940","식",,,,,,,
"㥁","U+3941","덕",,,,,,,
"㥂","U+3942","득",,,,,,,
"㥃","U+3943","민",,,,,,,
"㥄","U+3944","릉","능",,,,,,
"㥅","U+3945","수",,,,,,,
"㥆","U+3946","태",,,,,,,
"㥇","U+3947","잔",,,,,,,
"㥈","U+3948","첩",,,,,,,
"㥉","U+3949","부",,,,,,,
"㥊","U+394A","붕",,,,,,,
"㥋","U+394B","의",,,,,,,
"㥌","U+394C","국",,,,,,,
"㥍","U+394D","기",,,,,,,
"㥎","U+394E","리","이",,,,,,
"㥏","U+394F","전",,,,,,,
"㥐","U+3950","원",,,,,,,
"㥑","U+3951","우",,,,,,,
"㥒","U+3952","채",,,,,,,
"㥓","U+3953","기",,,,,,,
"㥔","U+3954","육",,,,,,,
"㥕","U+3955","련","연",,,,,,
"㥖","U+3956","총",,,,,,,
"㥗","U+3957","민",,,,,,,
"㥘","U+3958","겁",,,,,,,
"㥙","U+3959","충",,,,,,,
"㥚","U+395A","유",,,,,,,
"㥛","U+395B","극",,,,,,,
"㥜","U+395C","위",,,,,,,
"㥝","U+395D","면","미",,,,,,
"㥞","U+395E","수",,,,,,,
"㥟","U+395F","휴",,,,,,,
"㥠","U+3960","서",,,,,,,
"㥡","U+3961","치",,,,,,,
"㥢","U+3962","추",,,,,,,
"㥣","U+3963","혜",,,,,,,
"㥤","U+3964","긍",,,,,,,
"㥥","U+3965","우",,,,,,,
"㥦","U+3966","협",,,,,,,
"㥧","U+3967","순",,,,,,,
"㥨","U+3968","수","우",,,,,,
"㥩","U+3969","타",,,,,,,
"㥪","U+396A","루","누",,,,,,
"㥫","U+396B","돈",,,,,,,
"㥬","U+396C","방",,,,,,,
"㥭","U+396D","태",,,,,,,
"㥮","U+396E","초",,,,,,,
"㥯","U+396F","은",,,,,,,
"㥰","U+3970","소",,,,,,,
"㥱","U+3971","비",,,,,,,
"㥲","U+3972","신",,,,,,,
"㥳","U+3973","원",,,,,,,
"㥴","U+3974","이",,,,,,,
"㥵","U+3975","흔",,,,,,,
"㥶","U+3976","식",,,,,,,
"㥷","U+3977","협",,,,,,,
"㥸","U+3978","민",,,,,,,
"㥹","U+3979","분",,,,,,,
"㥺","U+397A","합",,,,,,,
"㥻","U+397B","척",,,,,,,
"㥼","U+397C","은","언",,,,,,
"㥽","U+397D","책",,,,,,,
"㥾","U+397E","닉","익","닐","일",,,,
"㥿","U+397F","오",,,,,,,
